recipe_id;name;link;ingredients;calories;fat;sodium;sugars;protein;rating;rating_count
518c1b33-a422-4a0f-a92d-44b46a3873fb;theeasiestmaplebalsamicroastedbrusselssprouts;https://www.eatingwell.com/maple-balsamic-roasted-brussels-sprouts-7971693;1 12 pounds brussels sprouts, trimmed and halved lengthwise 6 cups, 2 tablespoons extravirgin olive oil, 2 tablespoons balsamic vinegar, 1 12 tablespoons pure maple syrup, 2 teaspoons chopped fresh thyme, plus leaves for garnish, 12 teaspoon salt, 14 teaspoon ground pepper;146;7;326;9;5;5.0;2.0
cde56261-38a3-4f67-8297-4247d799ef7a;3ingredientcrispypotatopeelchips;https://www.eatingwell.com/crispy-potato-peel-chips-8361849;3 pounds small russet potatoes about 9 potatoes, 1 tablespoon extravirgin olive oil, 14 teaspoon salt, desired seasonings see variations to try;93;7;297;0;2;4.6;5.0
b80fbb14-f8cf-4d8a-9b72-8480c46a1de1;lemonmintwhitebeandip;https://www.eatingwell.com/lemon-mint-white-bean-dip-7972390;1 clove garlic, 1 15ounce can nosaltadded cannellini beans, rinsed, 2 tablespoons chopped fresh mint, 1 teaspoon lemon zest, 1 tablespoon fresh lemon juice, 1 tablespoon extravirgin olive oil, 14 teaspoon salt, 14 teaspoon freshly ground black pepper, 50 baby carrots;144;3;214;6;6;5.0;1.0
e605be7e-3bbe-4fcb-a18e-e88fb6cc5bd4;roastedcabbagesalad;https://www.eatingwell.com/roasted-cabbage-salad-7973610;1 small head green cabbage, chopped into 1inch pieces about 8 cups, 4 tablespoons extravirgin olive oil, divided, 14 teaspoon salt, 2 tablespoons grated parmesan cheese, 2 tablespoons rice vinegar, 1 12 teaspoons reducedsodium soy sauce, 1 teaspoon dijon mustard, 1 large clove garlic, grated with a microplane, 14 teaspoon ground pepper, plus more for garnish;176;14;307;5;3;5.0;2.0
a2bacd90-3050-42e5-9feb-8c0ce8f9731d;cheddarapplecrackerbites;https://www.eatingwell.com/cheddar-apple-cracker-bites-7972354;2 07oz slices reducedfat cheddar cheese, cut into quarters, 8 01oz, 3 x 1in  flatbread crackers, 24 thin vertical fuji apple slices 1 medium apple, 1 tablespoon honey, 2 teaspoons stoneground mustard, rosemary sprigs optional;94;2;141;10;3;;
21a0bd34-b945-4a47-80ef-4652a418612f;tostadasconnopalesyquesopanela;https://www.eatingwell.com/tostadas-con-nopales-y-queso-panela-8348038;2 cups chopped cooked fresh nopales or rinsed jarred or canned nopales see note, 34 cup chopped fresh cilantro, 1 medium plum tomato, chopped, 12 cup chopped white onion, 2 tablespoons extravirgin olive oil, 23 tablespoons lime juice, 1814 teaspoon salt plus 14 teaspoon, divided, ground pepper to taste, 9 tostada shells, preferably baked see note , 2 ripe avocados, 3 tablespoons cubed queso panela or crumbled queso fresco;213;16;201;2;3;5.0;4.0
ed05b284-ecac-42c5-b468-001e27b6fa0f;tomatozucchinisalsa;https://www.eatingwell.com/tomato-zucchini-salsa-7972239;1 12 cups chopped seeded tomato, 1 cup finely chopped zucchini, 12 cup finely chopped bottled roasted red bell peppers, 2 tablespoon finely chopped red onion, 1 tablespoon chopped fresh basil, 1 tablespoon finely chopped fresh parsley, 2 teaspoons fresh lemon juice, 2 teaspoons extravirgin olive oil, 1 12 teaspoons capers, drained, 14 teaspoon salt, 18 teaspoon black pepper, 1 clove garlic, minced;36;2;118;2;1;;
b0c9aca1-9669-4f80-8803-0c3fa27e49d7;lemongarlicparmesanvinaigrette;https://www.eatingwell.com/lemon-garlic-parmesan-vinaigrette-8302161;34 cup extravirgin olive oil, 5 tablespoons redwine vinegar, 14 cup grated parmesan cheese, 3 tablespoons lemon juice, 1 12 tablespoons dijon mustard, 1 clove garlic, grated, 14 teaspoon salt, ground pepper to taste;79;8;80;0;0;5.0;3.0
deb9f564-a428-494c-9174-e183de06a78e;cottagecheesesnackjar;https://www.eatingwell.com/recipe/8078448/cottage-cheese-snack-jar/; cup lowfat, nosaltadded cottage cheese,  cup chopped cucumber,  cup crunchy chickpeas see note;219;5;226;5;20;5.0;1.0
200ea260-0d23-41e0-aa5c-04912822f122;bananablueberryproteinmuffins;https://www.eatingwell.com/recipe/8078346/banana-blueberry-protein-muffins/; cup wholewheat flour,  cup allpurpose flour, 1 teaspoon baking soda, 1 teaspoon baking powder,  teaspoon ground cinnamon,  teaspoon salt,  teaspoon ground ginger, 2 medium bananas, mashed about 1 cup,  cup honey,  cup cottage cheese,  cup smooth natural peanut butter,  cup reducedfat milk, 1 large egg, 1  teaspoons vanilla extract, 2 cups fresh or frozen blueberries;166;4;292;13;5;4.7;7.0
e91e30ab-320a-46d8-a8ad-b6d85606ac73;cabbageparmesan;https://www.eatingwell.com/recipe/8077688/cabbage-parmesan/;4 1inchthick slices green cabbage, from the center of 1 large head, 2 tablespoons extravirgin olive oil, divided,  teaspoon salt,  teaspoon ground pepper,  cup grated parmesan cheese,  cup panko breadcrumbs, preferably whole wheat, 1 teaspoon italian seasoning,  teaspoon garlic powder,  cup marinara sauce, preferably lowsodium,  cup shredded mozzarella cheese;213;12;472;8;8;4.8;4.0
55c8077b-e023-4e69-b529-bf0652990041;crispyveganbacon;https://www.eatingwell.com/recipe/8076448/crispy-vegan-bacon/;2 ounces firm tofu, sliced,  cup reducedsodium soy sauce,  cup water, 2 tablespoons pure maple syrup, 2 tablespoons nutritional yeast, 1 tablespoon sriracha,  teaspoon smoked paprika,  teaspoon garlic powder, 2 tablespoons canola oil, 6 8inchsquare sheets rice paper;58;4;256;3;2;4.5;4.0
dc889c64-6b68-431e-b04a-1f762242b122;crispychickenthighswithartichokeslemonherbs;https://www.eatingwell.com/recipe/8074807/crispy-chicken-thighs-with-artichokes-lemon-herbs/;8 bonein, skinon chicken thighs, trimmed,  teaspoon kosher salt, divided,  teaspoon ground pepper, divided, plus more to taste, 1 tablespoon olive oil, 1 shallot, thinly sliced, 1 12ounce bag frozen artichoke hearts or 1 14ounce can quartered artichoke hearts, rinsed,  cup dry white wine, 1 cup unsalted chicken broth, 1 tablespoon dijon mustard, juice from 12 lemon,  cup chopped fresh parsley;337;15;639;2;31;5.0;4.0
632c2c1b-614a-4e01-bf2c-a432020045b9;antiinflammatorybeetavocadowrap;https://www.eatingwell.com/recipe/8073602/beet-avocado-wrap/;1 tablespoon lemon juice, 1 tablespoon tahini, 1 teaspoon extravirgin olive oil,  teaspoon kosher salt,  teaspoon ground pepper,  cup julienned red beets, 1  tablespoons hummus, 1 8 inch wholewheat tortilla, 2 leaves butter lettuce,  medium avocado, sliced;463;31;555;6;11;4.0;2.0
47be22e9-4318-45b6-a78a-8156f77fcebf;sautedmushroomswithbalsamicparmesan;https://www.eatingwell.com/recipe/8072835/sauteed-mushrooms-with-balsamic-parmesan/;2 tablespoons extravirgin olive oil, 1 pound cremini mushrooms, sliced, 3 cloves garlic, finely chopped, 2 teaspoons fresh thyme leaves,  teaspoon salt,  teaspoon ground pepper, 2 tablespoons balsamic vinegar, 2 tablespoons grated parmesan cheese;109;8;344;4;4;4.0;4.0
a8a9d0b9-ac75-49b2-b1a1-3c98f2e8cb6d;greengoddesswrap;https://www.eatingwell.com/recipe/8072322/green-goddess-wrap/; cup reducedfat plain strained greekstyle yogurt, 1 tablespoon water, 1 tablespoon finely chopped fresh flatleaf parsley, 1 tablespoon finely chopped fresh chives, 1 tablespoon finely chopped fresh dill, 1 teaspoon capers, rinsed, 1 teaspoon finely chopped garlic,  teaspoon lemon juice,  teaspoon salt, 1 cup baby spring mix salad greens, 1 scallion, 2 8inch wholewheat tortillas, 2 persian cucumbers, unpeeled and cut into 4by14inch strips,  cup alfalfa sprouts, divided, 1 medium avocado, sliced 14inch, divided;300;16;543;3;10;5.0;4.0
e8f9bf93-d484-4712-a40d-86b413c6fd51;quickeasybalsamiccabbage;https://www.eatingwell.com/recipe/8072251/balsamic-cabbage/; cup extravirgin olive oil, 8 cups coarsely chopped green cabbage,  teaspoon salt,  teaspoon ground pepper, 2 tablespoons balsamic vinegar;178;14;325;7;2;;
f3ded1a7-1ae8-4ded-92ba-9244cdcd6760;lemonblueberryoatmealbars;https://www.eatingwell.com/recipe/8072075/lemon-blueberry-oatmeal-bars/;2 cups oldfashioned rolled oats,  cup chopped toasted almonds plus 2 tablespoons, divided, 1 teaspoon baking powder,  teaspoon salt,  teaspoon baking soda,  cup wellstirred coconut milk or lowfat milk, 4  tablespoons honey,  cup unsweetened applesauce, 1 large egg, at room temperature, 1 large egg white, at room temperature, 1 tablespoon grated lemon zest, 1 teaspoon vanilla extract, 1 cup fresh blueberries, divided;192;6;150;11;6;4.1;7.0
41fad42c-df3f-4569-8fe1-5b41377d85a2;mapleroastedbrusselssproutswithbacon;https://www.eatingwell.com/recipe/8071887/maple-roasted-brussels-sprouts-with-bacon/;2 tablespoons extravirgin olive oil, 2 tablespoons pure maple syrup,  teaspoon salt,  teaspoon ground pepper, 1  pounds brussels sprouts, trimmed, halved or quartered if large, 2 slices bacon, chopped;118;6;166;7;5;5.0;1.0
9acec46c-d176-4465-9de1-6f79fa9bb8a5;cucumberroastedredpepperhummuswrap;https://www.eatingwell.com/recipe/8070837/cucumber-roasted-red-pepper-hummus-wrap/;1 8 inch wholewheat tortilla,  cup roasted red pepper hummus, 1 mini cucumber, sliced 12 cup,  cup mixed salad greens, spinach or sprouts;249;11;418;1;8;;
e3fc05e9-72e5-42d2-93cd-b64cf3534d91;meltingpotatoeswithgarlicprosciuttosage;https://www.eatingwell.com/recipe/8070585/melting-potatoes-with-garlic-prosciutto-sage/;2 slices prosciutto, 2 pounds yukon gold potatoes, unpeeled, sliced into 1inch rounds, 2 tablespoons finely chopped fresh sage, plus more for garnish, 1 tablespoon extravirgin olive oil, 1 tablespoon unsalted butter, melted, 1 teaspoon dried marjoram,  teaspoon salt, divided,  teaspoon ground pepper,  cup reducedsodium chicken broth, 5 medium cloves garlic, smashed;164;5;282;2;5;4.2;5.0
12cc4d49-6b95-4f70-b52b-c1de33195b92;quickgochujangporkricebowls;https://www.eatingwell.com/recipe/8058855/gochujang-pork-rice-bowls/;2 tablespoons toasted sesame oil, 12 ounces lean ground pork,  cup finely chopped white onion,  cup chopped scallions, divided, 4 garlic cloves, finely chopped,  cup water, 2 tablespoons gochujang, 2 tablespoons reducedsodium soy sauce, 1 tablespoon light brown sugar, 2 88ounce packages precooked microwavable brown rice, 2 tablespoons chopped fresh cilantro, 2 tablespoons rice vinegar, 4 lime wedges;429;17;532;7;23;;
a6170271-9307-4beb-b993-8643d5e6cb81;steaktacosalad;https://www.eatingwell.com/recipe/8058371/steak-taco-salad/;1 12 ounce flank steak, cooking spray,  teaspoon kosher salt, divided,  teaspoon black pepper, divided, 2 teaspoons olive oil,  cup chopped white onion,  cup unsalted chicken stock, 1 15 ounce can unsalted pinto beans, drained and rinsed, 3 cups chopped romaine lettuce, 1  cups chopped tomato, 1 ounce multigrain tortilla chips about 12 chips, 1 ripe avocado, thinly sliced, 1  ounces queso fresco, crumbled about 13 cup, fresh cilantro leaves optional, 4 lime wedges;339;16;475;4;26;;
800ffbb1-e6ac-4f3b-8482-8a0d8895a42b;heirloomtomatosaladwithpickledonions;https://www.eatingwell.com/recipe/8067484/heirloom-tomato-salad-with-pickled-onions/;1 cup redwine vinegar, 1 cup water,  cup packed light brown sugar, 1  teaspoons pickling spice, 1  teaspoons kosher salt, 1 medium red onion, thinly sliced,  cup extravirgin olive oil,  cup chopped fresh chives, 3 large heirloom tomatoes, sliced;156;14;141;5;1;5.0;1.0
6e33b8b6-a7c1-4404-a477-bddf9c923cb8;tilapiafishtacos;https://www.eatingwell.com/recipe/8069075/tilapia-fish-tacos/;1 teaspoon ground cumin, 1 teaspoon chipotle chile powder,  teaspoon smoked paprika,  teaspoon garlic powder,  teaspoon salt, divided, 1  pounds tilapia fillets about 3 fillets, patted dry, 2 tablespoons canola oil, 3 cups shredded coleslaw mix,  cup thinly sliced radishes about 2 medium, 2  tablespoons lime juice, divided,  cup wholemilk plain yogurt,  cup mayonnaise, 3 tablespoons chopped fresh cilantro, 1 fresno chile, chopped, 8 6 inch corn tortillas, warmed, 1 small ripe avocado, pitted and sliced;509;29;666;3;34;4.9;7.0
efb1096b-43ac-4271-87c0-843e755cf400;howtofrothmilkaccordingtoabarista;https://www.eatingwell.com/recipe/8068008/how-to-froth-milk/;4 ounces reducedfat or whole milk;31;1;29;3;2;5.0;2.0
6fca935f-e5ce-46cd-9a9f-7d2ee8ca7db3;chickenfetacucumbercouscousbowls;https://www.eatingwell.com/recipe/8060956/chicken-feta-cucumber-couscous-bowls/;1 tablespoon olive oil, 1  cups wholewheat israeli couscous, 2  cups water,  cup plain wholemilk strained greekstyle yogurt, 3 tablespoons whole buttermilk, 1  tablespoons white vinegar,  teaspoon kosher salt,  teaspoon freshly ground black pepper, 1 clove garlic, grated, 1  tablespoons chopped fresh dill, divided, 12 ounces boneless, skinless rotisserie chicken white and dark meat, shredded about 3 cups, 1 small english cucumber, halved lengthwise and sliced about 1 12 cups, 1 cup multicolored cherry tomatoes, halved,  cup thinly sliced red onion, 1 ounce feta cheese, crumbled about 14 cup;473;14;608;4;35;4.5;2.0
4355e8c1-2f46-4b39-84c8-f51d43c8fc71;bangbangchickenchecksalltheboxes;https://www.eatingwell.com/recipe/8065036/bang-bang-chicken/;1  cups wholewheat panko breadcrumbs, 1 tablespoon canola oil, 1 pound boneless, skinless chicken breasts, cut into 1 12inch pieces, 1 tablespoon mayonnaise plus 13 cup, divided, 2 tablespoons sweet chili sauce, 1  tablespoons lime juice, 1 tablespoon sriracha, 1 teaspoon onion powder,  teaspoon salt;395;23;462;2;29;4.8;4.0
f10c9347-fccb-4c45-a6df-e3c3bd3037c8;spicysweetgrilledchickenpineapplewithavocado;https://www.eatingwell.com/recipe/8064273/spicy-sweet-grilled-chicken-pineapple-with-avocado/;1 large fresh pineapple about 3 pounds, 1 tablespoon canola oil, 1 7ounce can chipotles in adobo sauce, divided, 2 tablespoons honey, 4 6 ounce boneless, skinless chicken breasts, 1 teaspoon salt, divided, 2 medium ripe avocados, cut into wedges;300;15;473;7;27;5.0;6.0
75d88084-5a1f-46b4-a400-382873679530;5ingredientblackbeanpatties;https://www.eatingwell.com/recipe/8064343/black-bean-patties/;2 15 ounce cans nosaltadded black beans, rinsed, 2 large eggs,  cup wholewheat panko breadcrumbs, 2 tablespoons vegan worcestershire sauce, 2 teaspoons ground cumin,  teaspoon salt,  teaspoon ground pepper;165;3;398;;10;4.3;8.0
b4eaada5-2d44-4661-9b12-fe04b0fe7b55;sheetpancarrotschickpeaswithtahini;https://www.eatingwell.com/recipe/8064194/sheet-pan-carrots-chickpeas-with-tahini/;1 large bunch carrots with tops about 1 pound, peeled, 1 155 ounce can nosaltadded chickpeas, rinsed,  cup sesame oil, divided,  cup cider vinegar, divided,  teaspoon salt,  teaspoon ground pepper,  cup tahini, 2 teaspoons pure maple syrup, 2 tablespoons water;362;23;397;8;9;5.0;6.0
072fc902-9b90-457f-a502-22d5eea1668f;fiberpackedspicywhitebeanspinachsalad;https://www.eatingwell.com/recipe/8063942/spicy-white-bean-spinach-salad/;2 15ounce cans nosaltadded cannellini beans, rinsed,  cup wholemilk plain yogurt,  teaspoon ras el hanout,  teaspoon refrigerated garlic paste,  teaspoon salt,  teaspoon honey, 2 tablespoons extravirgin olive oil, 1 tablespoon redwine vinegar, 1 tablespoon harissa paste, 1 5 ounce package baby spinach, 1 cup julienned carrots,  cup unsalted roasted almonds, chopped, 3 tablespoons golden raisins;322;14;444;9;13;5.0;5.0
4c1fb264-d2d9-4017-ac8b-d8e75260f9bb;sesamecrustedtofuwithradishappleslaw;https://www.eatingwell.com/recipe/8063929/sesame-crusted-tofu-with-radish-apple-slaw/;1 14ounce package extrafirm tofu, drained and patted dry, 1 teaspoon salt, divided,  cup black andor white sesame seeds, 4 tablespoons extravirgin olive oil, divided, 1  tablespoons rice vinegar, 1 teaspoon refrigerated ginger paste, 4 cups angel hair coleslaw, 1 small granny smith apple, unpeeled and cut into thin matchsticks about 1 12 cups, 2 radishes, cut into thin matchsticks;307;23;600;7;13;5.0;3.0
cadec54e-665f-403a-98e9-7d9c9abc10fd;arugulacucumbersaladwithtuna;https://www.eatingwell.com/recipe/8063916/arugula-cucumber-salad-with-tuna/;3 tablespoons chopped fresh basil, 1 tablespoon whitewine vinegar, 1  teaspoons lemon juice,  teaspoon salt, 3 tablespoons extravirgin olive oil,  cup thinly sliced celery,  cup thinly sliced persian or english cucumber, 1 5 ounce package baby arugula, 8 pitted castelvetrano olives, quartered about 13 cup, 2 67ounce packages nosaltadded tuna fillets in water, drained;232;13;519;1;26;4.5;2.0
42dd5b5c-db98-4d02-972d-b73b236d6a7b;braisedlentilskalewithfriedeggs;https://www.eatingwell.com/recipe/8063867/braised-lentils-kale-with-fried-eggs/;2 tablespoons extravirgin olive oil, divided, 1 teaspoon crushed dried rosemary, 1 teaspoon refrigerated garlic paste, 6 cups chopped stemmed kale, 1  cups water, 2 8ounce packages microwaveable black lentils, 1 15ounce can nosaltadded fireroasted tomatoes, undrained,  teaspoon salt, divided, 4 large eggs,  teaspoon ground pepper;437;14;592;6;29;4.0;1.0
0be0ad82-ac03-41fe-a8cf-efe8f678d7cc;chickencabbagesaladwithnuocchamdressing;https://www.eatingwell.com/recipe/8063628/chicken-cabbage-salad/;2 tablespoons lime juice, 2 tablespoons canola oil, 2 teaspoons light brown sugar, 2 teaspoons fish sauce,  teaspoon salt,  teaspoon refrigerated garlic paste, 4 cups thinly sliced red or green cabbage, 2 cups shredded cooked chicken breast about 8 ounces, 1 cup matchstick carrots, 1 cup fresh bean sprouts,  cup fresh mint leaves,  cup fresh basil leaves,  cup fresh cilantro leaves;208;9;473;7;20;4.6;8.0
